date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:09:13	219/219	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:59%20GMT	https://www.nitt.edu/academics	D:/nit/nit/www.nitt.edu/academics	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:13	220/220	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:59%20GMT	https://www.nitt.edu/home/academics	D:/nit/nit/www.nitt.edu/home/academics	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:13	220/220	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:59%20GMT	https://www.nitt.edu/admissions	D:/nit/nit/www.nitt.edu/admissions	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:13	221/221	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:59%20GMT	https://www.nitt.edu/home/admissions	D:/nit/nit/www.nitt.edu/home/admissions	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:14	0/-1	---M--	302	error ('')			https://www.nitt.edu/academics/departments	D:/nit/nit/www.nitt.edu/academics/departments.6c1.delayed	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:14	0/-1	---M--	302	error ('')			https://www.nitt.edu/home/academics/departments	D:/nit/nit/www.nitt.edu/home/academics/departments.6c2.delayed	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:14	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:59%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs407/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs407/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:14	275/275	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:06:59%20GMT	https://www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs413/	D:/nit/nit/www.nitt.edu/academics/departments/cse/programmes/btech/curriculum/sem7/cs413/index.html	(from https://www.nitt.edu/home/sitemap/)
23:09:14	225/225	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:00%20GMT	https://www.nitt.edu/students/events	D:/nit/nit/www.nitt.edu/students/events	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
23:09:14	226/226	---M--	302	error ('Found')	text/html	date:Mon,%2007%20Mar%202022%2016:07:00%20GMT	https://www.nitt.edu/home/students/events	D:/nit/nit/www.nitt.edu/home/students/events	(from https://www.nitt.edu/home/students/facilitiesnservices/lhc/)
